Info 0    [20:06:43.675] Starting TS Server
Info 1    [20:06:43.677] Version: 4.9.3
Info 2    [20:06:43.677] Arguments: /Users/wayneolson/.nvm/versions/node/v14.17.4/bin/node /Users/wayneolson/.nvm/versions/node/v14.17.4/lib/node_modules/typescript/lib/tsserver.js --logFile /Users/wayneolson/dev/capstone/panicbin/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/59/vpndc67941zbj_3wzzvxg7z40000gn/T/0330fd96a781ec7b70f96fd159a3daac/tscancellation*
Info 3    [20:06:43.677] Platform: darwin NodeVersion: 14 CaseSensitive: false
Info 4    [20:06:43.677] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [20:06:43.683] Format host information updated
Info 6    [20:06:43.690] Search path: /Users/wayneolson/dev/capstone/panicbin/backend/src
Info 7    [20:06:43.691] For info: /Users/wayneolson/dev/capstone/panicbin/backend/src/app.js :: No config files found.
Info 8    [20:06:43.694] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [20:06:44.595] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 901ms
Info 10   [20:06:44.595] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [20:06:44.595] 	Files (201)

Info 12   [20:06:44.595] -----------------------------------------------
Info 13   [20:06:44.616] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 14   [20:07:02.415] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 15   [20:07:02.476] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 61ms
Info 16   [20:07:02.476] Different program with same set of files
Info 17   [20:07:05.933] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 18   [20:07:05.975] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 41ms
Info 19   [20:07:05.975] Different program with same set of files
Info 20   [20:07:08.166] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 21   [20:07:08.210] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 44ms
Info 22   [20:07:08.210] Different program with same set of files
Info 23   [20:07:12.197] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 24   [20:07:12.235] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 37ms
Info 25   [20:07:12.236] Different program with same set of files
Info 26   [20:07:12.237] getCompletionData: Get current token: 0
Info 27   [20:07:12.237] getCompletionData: Is inside comment: 0
Info 28   [20:07:12.237] getCompletionData: Get previous token: 0
Info 29   [20:07:12.237] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 30   [20:07:12.242] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 31   [20:07:12.242] getExportInfoMap: cache miss or empty; calculating new results
Info 32   [20:07:12.264] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 33   [20:07:12.264] getExportInfoMap: done in 24 ms
Info 34   [20:07:12.264] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 35   [20:07:12.270] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 36   [20:07:12.271] collectAutoImports: response is complete
Info 37   [20:07:12.271] collectAutoImports: 6
Info 38   [20:07:12.271] getCompletionData: Semantic work: 34
Info 39   [20:07:12.283] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 12
Info 40   [20:07:14.352] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 41   [20:07:14.383] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 31ms
Info 42   [20:07:14.383] Different program with same set of files
Info 43   [20:07:14.384] getCompletionData: Get current token: 0
Info 44   [20:07:14.384] getCompletionData: Is inside comment: 0
Info 45   [20:07:14.384] getCompletionData: Get previous token: 0
Info 46   [20:07:14.384] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 47   [20:07:14.388] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 48   [20:07:14.388] getExportInfoMap: cache hit
Info 49   [20:07:14.388] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 50   [20:07:14.393] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 51   [20:07:14.393] collectAutoImports: response is complete
Info 52   [20:07:14.393] collectAutoImports: 5
Info 53   [20:07:14.393] getCompletionData: Semantic work: 9
Info 54   [20:07:14.404] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 11
Info 55   [20:07:15.772] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 56   [20:07:15.803] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false structureIsReused:: Completely Elapsed: 30ms
Info 57   [20:07:15.803] Different program with same set of files
Info 58   [20:07:15.804] getCompletionData: Get current token: 0
Info 59   [20:07:15.804] getCompletionData: Is inside comment: 0
Info 60   [20:07:15.804] getCompletionData: Get previous token: 0
Info 61   [20:07:15.804] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 62   [20:07:15.808] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 63   [20:07:15.808] getExportInfoMap: cache hit
Info 64   [20:07:15.809] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 65   [20:07:15.810] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 66   [20:07:15.811] collectAutoImports: response is complete
Info 67   [20:07:15.811] collectAutoImports: 2
Info 68   [20:07:15.811] getCompletionData: Semantic work: 7
Info 69   [20:07:15.823] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 12
Info 70   [20:07:17.258] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 71   [20:07:17.291] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false structureIsReused:: Completely Elapsed: 32ms
Info 72   [20:07:17.291] Different program with same set of files
Info 73   [20:07:17.292] getCompletionData: Get current token: 0
Info 74   [20:07:17.292] getCompletionData: Is inside comment: 0
Info 75   [20:07:17.292] getCompletionData: Get previous token: 0
Info 76   [20:07:17.292] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 77   [20:07:17.292] Returning an empty list because completion was requested in an invalid position.
Info 78   [20:07:17.317] getCompletionData: Get current token: 0
Info 79   [20:07:17.318] getCompletionData: Is inside comment: 0
Info 80   [20:07:17.318] getCompletionData: Get previous token: 0
